frecuencia,perdida_agregada
92,698008.7414801064
91,564409.9175219894
81,624524.4547535774
66,530057.5249274219
78,611645.1105799465
99,717487.9222571506
79,654606.9747204627
81,583260.47508014
84,615257.6429087961
88,633547.2283742864
70,579100.235392982
73,568058.4511092586
76,560014.0832392173
84,640413.2641838935
87,601205.2783794778
65,476217.47750468756
86,602736.3205904958
60,520254.31468679453
79,581389.4160512147
89,760457.9658480699
94,635478.4780673077
92,589050.8785640784
78,683248.8934834808
72,538829.7712587647
91,723931.6879454493
93,650059.880121304
78,530408.5763570977
95,614761.629751059
96,907686.223193879
76,480986.19329182745
78,521169.8907506575
77,555191.1889793403
83,602836.0881010197
72,528380.6145491179
69,693604.0872004521
88,736101.042262478
83,637229.1607687477
84,565361.56326232
69,405340.1015928332
86,605231.621083473
73,597235.2155839384
81,531677.5058760397
76,619999.4462350371
83,619652.2425201875
81,518208.1411604562
82,716376.8025177033
80,605206.6193992813
67,367385.87567880173
70,538064.9226138341
77,560083.9664240006
84,730295.8876582627
87,600359.8675826092
92,682936.2536712917
55,357749.8104912843
88,639015.6670778568
78,599808.946707398
78,677888.2795338421
84,718177.5938719102
85,477846.74263595993
86,626192.2339568378
86,734060.3879790877
88,604590.1180665179
79,586431.7142562335
77,639669.7868700149
81,647899.3688068957
84,759335.1513620251
51,384690.435857324
85,500306.48480420327
79,649738.5399965057
79,603248.6349265185
77,578852.302324702
84,578546.7972533866
79,626093.6613990387
94,635847.0494448441
81,551999.1576038561
92,514331.2311036986
84,668815.0829234578
75,487988.43942002265
79,628013.8820692351
76,606211.4149511117
79,432011.1772825648
84,608749.1537078698
99,705594.596519812
79,515562.3692415429
74,465516.3383173363
89,801625.1919090989
72,575357.9756424297
87,564529.2671310673
72,567786.1121697373
82,801891.5391948316
84,639496.7334366919
80,492383.29099399876
67,534155.8293468647
101,689266.2027211819
75,548656.5509683812
89,597587.8526126908
88,556349.4139259972
90,628660.8796969614
79,566731.5519235556
94,593639.4382697197
66,631791.4297443137
74,502736.0888769404
76,497404.6014000898
79,587350.0515718169
83,577743.6203869521
99,772563.865698327
86,615474.8515532038
92,812158.0424031866
80,637956.3182609715
82,523085.8082063326
84,557506.7579740769
93,805969.0121380567
71,563709.4594523017
81,634479.3038168888
91,634338.8698746334
84,600088.6979281491
74,526912.9243703996
80,523577.963090886
73,696150.1256873026
82,756280.9513358162
87,617148.0632762593
73,620698.3173919228
87,694683.7260766083
80,573657.3045512381
87,731704.9532771575
93,711888.7635043174
95,646149.805208034
73,569840.2342875714
74,496054.24517070665
75,601614.2828253172
67,567503.2999264328
82,633226.7731834343
78,682429.6544103131
81,563704.9552015965
87,689107.5769889259
71,495686.4772572083
97,798159.9124144715
72,575807.7839076333
90,669125.2985911829
73,512461.26170285617
94,666990.9243577907
67,473776.78813550575
75,478086.0480776737
99,656644.4928634507
70,437117.29340108036
73,670550.8273404669
85,664341.6980305763
75,436703.60548838525
81,585317.5306615239
77,507288.54984237277
77,621485.1026699792
96,658428.9692249885
77,529579.2905534217
85,501230.8127304845
62,484932.2086353043
72,752601.7277001336
90,754839.3608011171
65,498897.17940384446
74,465418.1870673554
65,424584.91583997745
78,510701.78873432125
75,513807.182774059
80,485909.54574981844
84,645325.7147416588
72,443339.65573880734
103,814058.6035664917
87,575130.0840270869
82,558387.3245577059
73,512878.59690011665
72,497241.52492102305
77,613558.5401696519
88,640016.2006932924
100,628493.5146590208
82,578237.9118118326
84,647577.0414132831
85,568218.3783535261
84,643714.3021200766
90,653104.7261313255
66,571451.8049329066
79,620547.6436626757
83,752369.9387584109
75,583965.0425039445
87,569942.786915585
66,508875.33590740885
81,779618.6760247946
94,660951.8458311678
78,512296.7179142029
84,637294.762900716
76,501073.6679293908
71,591702.1352265854
65,471252.9961614123
77,591542.5557769537
93,675530.1995613958
74,601484.4550553053
106,834837.1191001353
84,737917.8040718744
73,517537.1333652817
85,682370.0607119898
92,707204.8075565038
93,599672.0344253829
80,584632.9401527235
79,674921.2992993182
81,532147.8300752043
70,498547.4439102667
79,671165.1232367179
77,597153.0750946503
78,577062.7947820071
89,581748.2524497159
87,520788.29757994745
87,618751.6269798051
76,646953.9265425823
77,501803.1911603586
82,537687.935939929
65,474931.6914050328
93,722220.5688838203
73,527617.2411766341
76,641997.5743826712
78,511461.43726765993
79,603360.9077677425
80,670577.2677133321
79,580823.964294114
80,613417.8922232518
73,548973.6590833489
82,646982.0742901157
80,610884.996758747
77,755361.1666631843
75,483857.4305619128
84,584874.5563653101
71,543288.4167480882
101,801705.7108976485
79,521829.8442724257
81,535840.8883713911
83,627576.341115713
85,498654.4663117089
65,449922.8551088885
74,573879.9691567947
80,571198.7754482038
75,632903.583977633
82,614271.964054228
84,618446.8550495702
71,557033.6003602954
86,568074.350190096
84,537005.2863117926
83,650388.8188695809
79,567285.0520167666
76,520164.6788243394
77,605394.3588200036
59,413213.1882400055
75,461911.5442554331
84,596640.8920317575
97,693237.9655200096
69,562093.5335436154
85,618800.9884326106
84,494602.92209183524
63,487956.1188058616
85,608301.2780881659
89,671850.5613559571
87,625571.0618506189
72,515858.72013886593
71,558428.5329582875
80,612287.5216199753
83,533383.7220780123
65,584765.8325427996
88,630003.0136066712
65,457275.07234943815
86,658190.0621077826
70,533312.8134899164
85,751538.2191179214
82,692002.1150780955
80,479870.3219838134
74,488699.06507050927
68,493879.8879098806
61,459836.0220791586
85,564831.1578618159
80,637034.1302567064
71,636407.8449069407
74,525041.4511102461
69,432803.0278157676
67,550261.182576773
81,533638.0666946262
70,543815.3470702145
79,620934.9503141155
87,604802.8714484684
70,400364.26476871694
86,604653.3916640446
86,653379.9694641846
70,507697.4045561405
78,597113.8053002297
67,544854.7899227033
80,546714.2504624513
82,607217.1827635277
96,567538.690956933
83,669079.4011271584
66,420010.2789426632
78,437834.66227592016
87,571512.7130928208
79,509017.3673207214
75,539968.3513645786
72,588224.1503118114
76,639698.9387848029
85,589385.7365373524
64,408365.3880376139
74,550265.6029420712
63,406027.4302995522
66,378947.8390356046
74,523186.93649430864
90,680020.2131537613
86,624834.510279845
69,639035.2085945786
77,604771.738516358
89,588758.3962755176
82,660221.5734050187
86,660210.662545778
76,477752.4792639919
96,668991.7467351921
73,611657.3799232844
90,543141.6221426326
91,611771.9737796163
80,723903.2249685854
75,491376.9342817146
86,564820.8281183982
91,723593.1173267277
87,566568.5672454274
72,546984.4865814177
90,734063.134555837
75,650584.2613431838
71,449749.1535214517
94,640788.8445580808
81,548270.8423101993
78,562731.1295718588
70,434027.0351713825
70,396348.7213409075
68,432411.8353016039
99,793836.6371607431
87,564295.9675660874
78,635106.3451858538
68,396549.0289566408
73,514372.730505654
83,491925.6325881534
81,672979.6335735858
86,667229.9842155257
74,494108.6618356767
81,587559.5379895839
79,537686.0103096034
90,565524.9741750639
65,575798.7215529718
91,606351.5228936282
97,677036.2813304933
77,574637.9300429007
91,639648.6741979504
75,553485.8848786211
71,523007.567704206
87,629490.2978932805
72,540281.7207944514
75,476231.12938503275
69,564266.3748027167
73,605529.4100932465
89,634942.7121169319
85,603777.3611987723
79,537641.7900740043
85,657967.2508413112
67,319892.5732810762
99,803240.8738465043
91,674869.5997646026
93,792009.7973096684
74,496716.1106663265
82,596890.3382918675
83,526102.6835741216
85,702546.6442371849
70,541410.170383015
95,553725.1907064391
75,514612.38616873417
88,682167.9885918762
74,534461.6441921644
73,405146.90359084803
72,578957.0549825793
100,674866.4524453412
63,480636.89730575716
82,565710.9109104786
79,616896.5790843576
86,579265.7457961424
82,443425.6721574188
91,743356.1084932341
98,748715.2454404364
79,674944.1272784375
67,593340.0479416263
82,607909.5806655901
78,649776.7078989049
95,669166.4432649417
91,657891.5677992026
79,580793.2922465524
74,496507.9238916484
89,638268.207018208
95,703081.7281369278
82,570784.3349223667
76,706181.8037294704
69,452049.3406176429
88,698203.2006815796
68,433624.87041373807
86,624106.5194365793
80,547172.9371682892
65,436121.3559261579
75,653535.5983387628
79,562681.8499312013
83,523078.79096769827
75,637429.5100838451
74,461896.20827081345
87,647571.6572307516
85,600542.9941560549
61,406922.07070931006
86,617099.6140105731
84,548828.162805037
69,457893.4821598859
85,839602.5359698624
58,446064.4590880524
81,672216.2833972112
77,755176.1261438142
73,517343.7465650889
77,577404.4788673265
80,544925.0922227051
82,560154.5235334903
81,525721.6431662093
82,599807.8135774767
67,497300.6920468057
72,538587.3773023086
97,775886.0303017283
83,619298.3953227195
68,446145.4779673126
84,636261.237214898
71,606181.8615169957
98,791143.1381500722
79,788046.1099988911
94,759954.0665547623
80,495940.3976850421
60,438120.12319320516
91,550218.3372064446
71,523232.99293580616
76,581033.5170860575
81,679170.9220507538
90,666368.0241214493
77,594900.9661179757
101,812025.7541047852
83,509446.5422000545
93,659567.4558602921
74,493940.25490297074
67,485011.09163036157
83,512222.36038149474
82,604938.7887549443
82,630389.8366001974
74,688540.0137157372
74,498744.34093695035
88,669145.4875965648
62,492746.382575209
68,552070.091869403
82,717732.1378471839
75,606343.0933130679
75,721058.8136280697
88,573246.6954487779
76,592151.9872885586
77,551535.7820979164
86,717834.6898516959
79,575803.3333444927
86,651793.1489332515
71,599256.5449994286
74,575925.2801895324
81,590515.8386576719
84,651899.802371315
72,677910.2334496062
69,461011.1892218644
100,768155.1948058214
68,512856.09974244103
78,598677.1741059046
83,560160.5715545266
75,519985.5909982507
79,580440.3535176727
81,699901.9535504809
79,708741.7390668225
64,416949.264162474
77,546312.336878538
89,658718.7292574309
77,487499.1443361835
63,367913.3793757812
73,560950.1947155282
86,676581.8127310957
85,880798.4046497111
79,625116.626285648
76,445798.118926754
87,635189.1469362698
61,408455.0876384815
69,403560.97732367244
74,497275.43618418684
87,682423.0617257308
78,576406.2721986547
73,535430.3298056656
90,674032.1149803095
82,532236.9939547607
87,660728.6736464257
71,515215.46162642795
88,575956.2111532995
85,466157.54993485514
99,833874.404126222
75,498487.36617339216
91,976202.6463329614
92,646373.4214693676
108,811392.154723603
92,626345.2610316597
100,831099.3381180634
84,605388.0518179997
68,494345.81270149554
78,597512.645583602
86,650440.8323337176
80,654449.13929727
81,554723.3866759838
70,560271.2187988649
76,562831.2543834377
62,444054.2731753066
82,491485.31077586405
65,350790.1538214559
83,568506.002680695
76,506701.4471975682
83,526947.199546643
86,533080.8509322377
71,590495.4442331458
87,797156.5696527564
74,585946.2484135149
75,469245.5723396216
73,518673.00808343245
92,685030.2891416096
81,670792.4974738221
82,521139.06564623525
90,562333.0430006596
89,778405.6524758025
74,604673.4106210513
80,489198.03508011065
77,689701.913090193
84,585137.0491753363
91,651600.2305080113
82,508197.93186459667
84,536794.6832570332
79,438792.72498347645
99,806212.2814569944
86,745781.0352600792
68,540754.2978922661
72,476312.1529690899
77,557800.2112160277
73,532644.748857709
64,409377.89944356546
76,590429.9988514839
97,777999.2751336081
68,326193.7988866449
93,641314.046041914
69,501238.9055572743
73,500682.7894654321
74,574927.6253103616
79,652613.6280440643
70,551975.8186451077
66,431572.0721791892
70,438058.831949588
85,569087.7946094773
101,899813.0150244058
72,635197.5342666267
66,508821.12955100083
70,493565.2222566705
87,662563.9528768081
74,602565.0462582696
63,446621.5694337977
74,629083.6117270549
73,577359.7954882286
74,554591.3313207036
69,415049.7557259097
83,507055.8140883047
64,495071.0473785917
83,713450.5305856774
69,496810.23780752596
81,605552.8449704252
83,759740.9463347362
86,530520.2318958171
79,569166.5678681828
68,590252.764088541
73,506767.54987870046
88,679745.6657791259
